age,gender,minority,native_english,lower_division,attractive,eval,high_eval
36,1,1,1,0,1,4.3,1
59,0,0,1,0,0,4.5,1
51,0,0,1,0,0,3.7,1
40,1,0,1,0,0,4.3,1
31,1,0,1,0,1,4.4,1
62,0,0,1,0,1,4.2,1
33,1,0,1,0,0,4.0,1
51,1,0,1,0,0,3.4,0
33,1,0,1,0,1,4.5,1
47,0,0,1,0,1,3.9,1
35,0,1,0,0,1,3.1,0
37,0,0,1,0,0,4.0,1
42,0,0,1,0,1,3.8,1
49,0,0,0,0,0,3.4,0
37,1,0,1,0,1,2.9,0
45,0,0,1,0,0,4.5,1
56,1,0,1,0,0,4.0,1
48,0,0,1,1,0,3.8,1
46,1,0,1,0,0,4.3,1
57,1,0,1,0,1,3.4,0
52,1,0,1,0,1,3.4,0
29,1,1,0,0,0,3.3,0
62,0,0,1,0,0,4.3,1
64,0,0,1,0,0,4.4,1
34,1,0,1,0,1,4.6,1
58,0,0,1,0,0,4.2,1
52,0,1,0,0,1,4.0,1
73,0,0,1,0,0,3.3,0
70,0,0,1,0,0,4.4,1
41,1,0,1,0,1,2.3,0
63,0,0,1,0,0,3.5,1
47,0,0,1,0,0,4.7,1
39,0,0,1,1,1,3.9,1
47,1,1,1,1,0,4.0,1
54,0,0,1,0,0,4.3,1
44,1,1,1,0,1,3.8,1
47,0,1,1,0,0,3.8,1
62,0,0,1,0,0,4.0,1
60,0,0,1,0,0,4.6,1
37,0,0,1,0,1,3.5,1
42,0,0,1,0,0,4.7,1
35,0,0,1,0,1,4.2,1
39,1,0,1,1,1,3.4,0
49,0,0,1,0,1,3.9,1
61,0,0,1,1,1,4.5,1
33,0,0,1,0,1,4.7,1
58,1,0,1,0,1,3.5,1
56,1,0,1,0,0,3.7,1
50,1,0,1,1,0,4.0,1
52,0,0,1,0,0,4.1,1
33,1,0,1,0,1,4.4,1
57,0,0,1,0,1,4.2,1
38,1,0,1,0,1,4.5,1
34,1,0,1,1,0,3.8,1
34,0,0,1,0,1,3.1,0
32,0,0,1,1,0,3.7,1
42,1,0,1,1,1,3.9,1
43,1,0,1,1,0,4.0,1
35,0,0,0,0,0,3.3,0
62,1,0,1,0,0,3.1,0
42,0,0,1,0,0,4.0,1
39,0,0,1,0,1,4.3,1
52,1,0,1,0,1,3.7,1
52,1,0,1,0,1,3.4,0
52,1,0,1,0,0,4.3,1
64,0,0,1,0,0,3.7,1
50,0,0,1,0,1,4.2,1
60,0,0,1,0,0,2.2,0
51,1,0,1,0,1,3.0,0
43,0,0,1,1,0,4.3,1
50,0,1,1,1,0,4.6,1
52,0,0,1,0,1,3.5,1
51,0,0,1,1,1,4.6,1
38,0,0,1,1,0,3.7,1
47,1,0,1,1,1,3.8,1
43,1,1,1,1,0,3.6,1
38,1,0,1,1,0,4.4,1
43,0,0,1,1,0,4.1,1
57,0,0,1,0,0,4.3,1
51,1,0,1,0,1,4.0,1
45,0,0,1,1,0,4.8,1
57,0,0,1,1,0,3.5,1
47,1,0,1,1,1,3.6,1
54,1,1,1,1,1,3.8,1
58,0,0,1,1,1,4.7,1
42,0,0,1,1,1,4.9,1
33,0,0,1,1,1,4.3,1
62,0,0,1,1,0,3.3,0
35,1,1,1,1,1,3.4,0
61,0,0,1,1,0,3.6,1
52,1,0,1,1,0,4.0,1
60,1,0,0,0,0,3.9,1
32,0,0,1,1,1,4.3,1
42,1,1,0,0,1,3.3,0
36,1,1,1,0,1,3.7,1
36,1,1,1,0,1,3.6,1
36,1,1,1,0,1,4.4,1
59,0,0,1,0,0,4.0,1
59,0,0,1,0,0,2.1,0
51,0,0,1,0,0,3.2,0
40,1,0,1,0,0,3.5,1
40,1,0,1,0,0,4.1,1
40,1,0,1,0,0,4.6,1
40,1,0,1,0,0,3.8,1
40,1,0,1,0,0,3.8,1
40,1,0,1,0,0,3.8,1
40,1,0,1,0,0,4.2,1
31,1,0,1,0,1,3.9,1
31,1,0,1,0,1,4.5,1
31,1,0,1,0,1,4.5,1
31,1,0,1,0,1,4.4,1
31,1,0,1,0,1,4.4,1
62,0,0,1,0,1,4.4,1
62,0,0,1,0,1,4.5,1
62,0,0,1,0,1,4.3,1
62,0,0,1,0,1,4.6,1
62,0,0,1,0,1,4.8,1
62,0,0,1,0,1,4.3,1
33,1,0,1,0,0,4.0,1
33,1,0,1,0,0,4.0,1
33,1,0,1,0,0,3.9,1
33,1,0,1,0,0,3.3,0
51,1,0,1,0,0,4.5,1
51,1,0,1,0,0,4.5,1
51,1,0,1,0,0,4.5,1
51,1,0,1,1,0,2.5,0
51,1,0,1,0,0,4.3,1
51,1,0,1,0,0,4.5,1
33,1,0,1,0,1,4.7,1
33,1,0,1,0,1,3.5,1
33,1,0,1,0,1,4.5,1
33,1,0,1,0,1,3.8,1
33,1,0,1,0,1,4.5,1
33,1,0,1,0,1,4.3,1
47,0,0,1,0,1,3.9,1
47,0,0,1,0,1,4.3,1
47,0,0,1,0,1,4.2,1
47,0,0,1,1,1,5.0,1
47,0,0,1,1,1,5.0,1
47,0,0,1,0,1,4.6,1
47,0,0,1,1,1,5.0,1
47,0,0,1,0,1,4.7,1
47,0,0,1,1,1,5.0,1
35,0,1,0,0,1,2.7,0
35,0,1,0,0,1,4.0,1
37,0,0,1,0,0,4.4,1
37,0,0,1,0,0,4.4,1
37,0,0,1,0,0,4.3,1
37,0,0,1,0,0,3.5,1
42,0,0,1,0,1,3.8,1
42,0,0,1,0,1,3.9,1
42,0,0,1,0,1,3.7,1
42,0,0,1,0,1,3.3,0
42,0,0,1,0,1,4.0,1
42,0,0,1,0,1,3.8,1
49,0,0,0,0,0,4.2,1
49,0,0,0,0,0,3.1,0
49,0,0,0,0,0,3.6,1
37,1,0,1,0,1,3.3,0
37,1,0,1,0,1,2.9,0
37,1,0,1,0,1,3.1,0
45,0,0,1,1,0,4.0,1
45,0,0,1,1,0,4.0,1
45,0,0,1,0,0,4.2,1
45,0,0,1,0,0,3.8,1
45,0,0,1,1,0,4.3,1
56,1,0,1,0,0,4.6,1
56,1,0,1,0,0,4.3,1
56,1,0,1,0,0,3.6,1
56,1,0,1,0,0,4.2,1
48,0,0,1,0,0,3.9,1
48,0,0,1,0,0,4.1,1
48,0,0,1,1,0,4.0,1
48,0,0,1,1,0,4.3,1
48,0,0,1,0,0,3.9,1
48,0,0,1,1,0,4.2,1
48,0,0,1,1,0,4.2,1
46,1,0,1,1,0,4.9,1
46,1,0,1,0,0,4.0,1
46,1,0,1,0,0,4.3,1
46,1,0,1,0,0,4.9,1
46,1,0,1,0,0,3.9,1
46,1,0,1,1,0,4.9,1
46,1,0,1,0,0,3.9,1
46,1,0,1,1,0,4.0,1
57,1,0,1,0,1,3.5,1
57,1,0,1,0,1,3.9,1
57,1,0,1,0,1,4.0,1
57,1,0,1,0,1,3.6,1
57,1,0,1,0,1,3.0,0
57,1,0,1,0,1,3.0,0
57,1,0,1,0,1,3.6,1
57,1,0,1,0,1,3.6,1
57,1,0,1,0,1,3.2,0
52,1,0,1,0,1,3.9,1
52,1,0,1,0,1,3.5,1
52,1,0,1,0,1,3.5,1
52,1,0,1,0,1,3.1,0
52,1,0,1,0,1,4.2,1
62,0,0,1,1,0,3.6,1
62,0,0,1,0,0,4.5,1
62,0,0,1,1,0,3.7,1
62,0,0,1,1,0,3.4,0
64,0,0,1,0,0,4.5,1
64,0,0,1,0,0,4.6,1
64,0,0,1,0,0,4.8,1
64,0,0,1,0,0,4.5,1
64,0,0,1,0,0,4.4,1
64,0,0,1,0,0,4.1,1
34,1,0,1,0,1,3.9,1
58,0,0,1,0,0,4.3,1
58,0,0,1,1,0,3.5,1
58,0,0,1,0,0,4.0,1
58,0,0,1,1,0,4.0,1
52,0,1,0,0,1,4.6,1
52,0,1,0,0,1,4.6,1
52,0,1,0,0,1,3.7,1
52,0,1,0,0,1,3.5,1
52,0,1,0,0,1,3.6,1
52,0,1,0,0,1,3.9,1
73,0,0,1,0,0,4.2,1
73,0,0,1,0,0,3.2,0
73,0,0,1,0,0,4.9,1
70,0,0,1,0,0,4.0,1
70,0,0,1,0,0,3.5,1
70,0,0,1,0,0,3.4,0
63,0,0,1,0,0,4.2,1
63,0,0,1,0,0,3.5,1
63,0,0,1,0,0,4.4,1
63,0,0,1,0,0,3.7,1
63,0,0,1,0,0,3.4,0
63,0,0,1,0,0,3.0,0
47,0,0,1,0,0,3.9,1
47,0,0,1,0,0,2.8,0
39,0,0,1,1,1,3.7,1
39,0,0,1,0,1,4.6,1
39,0,0,1,0,1,4.2,1
39,0,0,1,0,1,4.4,1
47,1,1,1,0,0,3.8,1
47,1,1,1,1,0,4.1,1
47,1,1,1,1,0,3.7,1
47,1,1,1,0,0,4.1,1
47,1,1,1,1,0,3.0,0
47,1,1,1,1,0,3.2,0
47,1,1,1,1,0,2.8,0
47,1,1,1,1,0,4.7,1
47,1,1,1,1,0,4.2,1
47,1,1,1,1,0,3.2,0
47,1,1,1,1,0,3.1,0
47,1,1,1,1,0,4.0,1
54,0,0,1,0,0,4.2,1
54,0,0,1,0,0,4.3,1
44,1,1,1,0,1,3.3,0
44,1,1,1,0,1,4.1,1
44,1,1,1,0,1,3.7,1
47,0,1,1,0,0,3.3,0
47,0,1,1,0,0,3.8,1
47,0,1,1,0,0,3.4,0
47,0,1,1,0,0,4.2,1
47,0,1,1,0,0,3.8,1
47,0,1,1,0,0,3.5,1
47,0,1,1,0,0,3.3,0
62,0,0,1,0,0,4.3,1
62,0,0,1,0,0,4.1,1
60,0,0,1,0,0,4.5,1
60,0,0,1,0,0,4.5,1
60,0,0,1,0,0,4.6,1
60,0,0,1,0,0,4.4,1
60,0,0,1,0,0,4.1,1
60,0,0,1,0,0,4.5,1
60,0,0,1,1,0,4.3,1
42,0,0,1,0,0,4.4,1
42,0,0,1,0,0,4.9,1
42,0,0,1,0,0,4.7,1
42,0,0,1,0,0,4.6,1
35,0,0,1,1,1,4.8,1
35,0,0,1,0,1,4.2,1
35,0,0,1,1,1,4.6,1
39,1,0,1,0,1,4.7,1
39,1,0,1,0,1,4.6,1
39,1,0,1,1,1,3.6,1
49,0,0,1,0,1,3.9,1
49,0,0,1,0,1,4.0,1
61,0,0,1,0,1,4.4,1
61,0,0,1,1,1,4.5,1
61,0,0,1,0,1,4.4,1
33,0,0,1,0,1,3.0,0
33,0,0,1,0,1,3.7,1
56,1,0,1,0,0,3.6,1
56,1,0,1,0,0,3.1,0
50,1,0,1,1,0,3.8,1
50,1,0,1,1,0,4.7,1
50,1,0,1,0,0,3.8,1
50,1,0,1,0,0,3.8,1
50,1,0,1,0,0,2.8,0
50,1,0,1,0,0,4.0,1
52,0,0,1,0,0,4.0,1
52,0,0,1,0,0,3.5,1
52,0,0,1,0,0,3.4,0
52,0,0,1,0,0,4.0,1
52,0,0,1,0,0,3.5,1
52,0,0,1,0,0,3.8,1
52,0,0,1,0,0,4.7,1
52,0,0,1,0,0,3.9,1
52,0,0,1,0,0,4.5,1
52,0,0,1,0,0,4.2,1
52,0,0,1,0,0,4.7,1
52,0,0,1,0,0,4.0,1
33,1,0,1,0,1,4.8,1
33,1,0,1,0,1,4.8,1
33,1,0,1,0,1,4.4,1
33,1,0,1,0,1,4.7,1
33,1,0,1,0,1,4.5,1
57,0,0,1,0,1,4.2,1
57,0,0,1,0,1,4.4,1
57,0,0,1,0,1,4.1,1
38,1,0,1,1,1,4.2,1
38,1,0,1,0,1,4.8,1
38,1,0,1,0,1,4.4,1
38,1,0,1,0,1,4.7,1
38,1,0,1,1,1,4.2,1
38,1,0,1,0,1,4.5,1
34,1,0,1,1,0,3.4,0
34,1,0,1,1,0,3.7,1
34,1,0,1,0,0,3.6,1
34,1,0,1,0,0,3.9,1
34,1,0,1,0,0,3.9,1
34,0,0,1,0,1,3.7,1
34,0,0,1,1,1,3.0,0
32,0,0,1,1,0,3.6,1
32,0,0,1,1,0,3.6,1
32,0,0,1,0,0,4.3,1
32,0,0,1,0,0,4.5,1
42,1,0,1,0,1,3.9,1
43,1,0,1,0,0,4.6,1
43,1,0,1,1,0,4.1,1
43,1,0,1,1,0,4.2,1
43,1,0,1,1,0,4.1,1
43,1,0,1,1,0,3.1,0
43,1,0,1,1,0,3.6,1
43,1,0,1,0,0,4.2,1
43,1,0,1,1,0,3.0,0
43,1,0,1,0,0,4.2,1
35,0,0,0,1,0,3.4,0
62,1,0,1,0,0,3.1,0
62,1,0,1,0,0,2.7,0
52,1,0,1,0,1,3.9,1
52,1,0,1,0,1,3.9,1
52,1,0,1,0,1,3.6,1
52,1,0,1,0,0,3.7,1
52,1,0,1,0,0,3.6,1
52,1,0,1,0,0,4.4,1
52,1,0,1,0,0,4.3,1
52,1,0,1,0,0,4.1,1
52,1,0,1,0,0,3.7,1
64,0,0,1,0,0,3.6,1
64,0,0,1,0,0,2.8,0
64,0,0,1,0,0,4.0,1
64,0,0,1,0,0,4.4,1
64,0,0,1,0,0,3.6,1
50,0,0,1,0,1,3.7,1
60,0,0,1,0,0,2.9,0
60,0,0,1,0,0,2.6,0
43,0,0,1,1,0,4.8,1
43,0,0,1,1,0,4.9,1
43,0,0,1,1,0,4.3,1
43,0,0,1,1,0,4.4,1
43,0,0,1,1,0,4.3,1
43,0,0,1,1,0,4.7,1
43,0,0,1,1,0,4.3,1
43,0,0,1,1,0,4.6,1
50,0,1,1,1,0,4.9,1
50,0,1,1,1,0,4.8,1
50,0,1,1,1,0,4.7,1
50,0,1,1,1,0,4.8,1
50,0,1,1,1,0,4.9,1
50,0,1,1,1,0,4.8,1
50,0,1,1,1,0,4.8,1
50,0,1,1,1,0,5.0,1
50,0,1,1,1,0,4.5,1
52,0,0,1,0,1,3.8,1
52,0,0,1,0,1,3.8,1
52,0,0,1,0,1,3.8,1
52,0,0,1,0,1,4.0,1
52,0,0,1,0,1,4.2,1
51,0,0,1,1,1,4.5,1
51,0,0,1,1,1,4.5,1
51,0,0,1,1,1,4.6,1
51,0,0,1,1,1,4.7,1
38,0,0,1,1,0,4.1,1
38,0,0,1,1,0,3.6,1
38,0,0,1,1,0,4.0,1
47,1,0,1,1,1,3.4,0
43,1,1,1,1,0,2.8,0
38,1,0,1,1,0,4.1,1
38,1,0,1,1,0,3.5,1
38,1,0,1,1,0,3.4,0
38,1,0,1,1,0,4.1,1
38,1,0,1,1,0,4.2,1
43,0,0,1,1,0,4.3,1
43,0,0,1,0,0,4.1,1
43,0,0,1,0,0,3.4,0
57,0,0,1,0,0,3.5,1
57,0,0,1,0,0,3.6,1
51,1,0,1,0,1,3.7,1
51,1,0,1,0,1,3.0,0
51,1,0,1,0,1,4.6,1
45,0,0,1,1,0,4.0,1
45,0,0,1,1,0,4.8,1
45,0,0,1,1,0,4.6,1
57,0,0,1,1,0,3.4,0
57,0,0,1,1,0,4.4,1
57,0,0,1,1,0,3.6,1
57,0,0,1,1,0,3.8,1
57,0,0,1,1,0,3.7,1
57,0,0,1,1,0,4.7,1
57,0,0,1,1,0,4.5,1
57,0,0,1,0,0,5.0,1
57,0,0,1,1,0,3.8,1
57,0,0,1,1,0,4.1,1
47,1,0,1,1,1,4.3,1
47,1,0,1,1,1,4.4,1
47,1,0,1,1,1,4.7,1
47,1,0,1,1,1,3.9,1
54,1,1,1,1,1,4.8,1
54,1,1,1,1,1,4.3,1
54,1,1,1,1,1,4.6,1
54,1,1,1,1,1,3.8,1
58,0,0,1,1,1,5.0,1
58,0,0,1,1,1,4.9,1
58,0,0,1,1,1,4.6,1
58,0,0,1,1,1,4.6,1
58,0,0,1,1,1,5.0,1
58,0,0,1,1,1,4.6,1
58,0,0,1,1,1,4.9,1
42,0,0,1,1,1,4.0,1
42,0,0,1,0,1,3.9,1
33,0,0,1,1,1,4.1,1
62,0,0,1,1,0,2.9,0
62,0,0,1,1,0,2.8,0
62,0,0,1,1,0,2.8,0
62,0,0,1,0,0,4.0,1
62,0,0,1,1,0,3.3,0
62,0,0,1,1,0,3.0,0
35,1,1,1,1,1,3.6,1
35,1,1,1,1,1,3.8,1
61,0,0,1,1,0,3.9,1
52,1,0,1,1,0,4.7,1
52,1,0,1,1,0,4.7,1
60,1,0,0,0,0,3.9,1
60,1,0,0,0,0,4.4,1
60,1,0,0,0,0,3.6,1
60,1,0,0,0,0,4.2,1
60,1,0,0,0,0,3.4,0
60,1,0,0,0,0,4.0,1
32,0,0,1,1,1,4.2,1
32,0,0,1,0,1,4.4,1
32,0,0,1,1,1,4.5,1
32,0,0,1,1,1,3.2,0
32,0,0,1,0,1,4.3,1
42,1,1,0,0,1,3.3,0
42,1,1,0,0,1,3.2,0
42,1,1,0,1,1,4.1,1
